Index           Value
-1              int
[97, 0]         a
-1              ,
[105, 0]        i
-1              ;
-1              read
-1              (
[97, 0]         a
-1              )
-1              ;
-1              if
-1              (
[97, 0]         a
-1              <
[50, 0]         2
-1              )
-1              {
-1              write
-1              (
[232, 0]        "The number is not prime"
-1              )
-1              ;
-1              exit
-1              (
[48, 0]         0
-1              )
-1              ;
-1              }
-1              elif
-1              (
[97, 0]         a
-1              ==
[50, 0]         2
-1              )
-1              {
-1              write
-1              (
[863, 0]        "The number is prime"
-1              )
-1              ;
-1              exit
-1              (
[48, 0]         0
-1              )
-1              ;
-1              }
-1              elif
-1              (
[97, 0]         a
-1              %
[50, 0]         2
-1              ==
[48, 0]         0
-1              )
-1              {
-1              write
-1              (
[232, 0]        "The number is not prime"
-1              )
-1              ;
-1              exit
-1              (
[48, 0]         0
-1              )
-1              ;
-1              }
-1              else
-1              {
-1              for
-1              (
[105, 0]        i
-1              =
[51, 0]         3
-1              ;
[105, 0]        i
-1              *
[105, 0]        i
-1              <=
[97, 0]         a
-1              ;
-1              +
-1              +
[105, 0]        i
-1              )
-1              {
-1              if
-1              (
[97, 0]         a
-1              %
[105, 0]        i
-1              ==
[48, 0]         0
-1              )
-1              {
-1              write
-1              (
[232, 0]        "The number is not prime"
-1              )
-1              ;
-1              exit
-1              (
[48, 0]         0
-1              )
-1              ;
-1              }
-1              }
-1              write
-1              (
[863, 0]        "The number is prime"
-1              )
-1              ;
-1              }

Lexically Correct
